customer_id,name,location_city,location_country
1,Acme Corp,New York,USA
2,Bold Ventures,London,UK
3,Clever Solutions,Tokyo,Japan
4,Dynamic Innovations,Sydney,Australia
5,Efficient Technologies,Toronto,Canada
6,Forward Thinking Ltd,Berlin,Germany
7,Global Enterprises,Paris,France
8,Horizon Industries,Singapore,Singapore
9,Innovative Designs,Madrid,Spain
10,Just Solutions Group,Dubai,UAE
11,Knowledge Networks,Rome,Italy
12,Leading Edge Technologies,Seoul,South Korea
13,MegaCorp,Los Angeles,USA
14,NextGen Innovations,Shanghai,China
15,Open Source Solutions,Amsterdam,Netherlands
16,Pacific Technologies,Vancouver,Canada
17,Quantum Innovations,Tel Aviv,Israel
18,Reliable Systems,Stockholm,Sweden
19,Stellar Enterprises,Moscow,Russia
20,Tech Savvy Solutions,San Diego,USA
21,United Global Networks,Sao Paulo,Brazil
22,Vanguard Technologies,Dublin,Ireland
23,Wise Innovations,Hong Kong,China
24,Xenon Solutions,Bangalore,India
25,Yotta Innovations,Nairobi,Kenya
26,Zenith Technologies,Cape Town,South Africa
27,Agile Solutions,Lisbon,Portugal
28,Blue Sky Enterprises,Vienna,Austria
29,Cloud Computing Ltd,Bucharest,Romania
30,Crimson Dynamics,Copenhagen,Denmark
31,Digital Frontiers,Helsinki,Finland
32,Emerald Technologies,Prague,Czech Republic
33,Fusion Innovations,Warsaw,Poland
34,Galaxy Solutions,Oslo,Norway
35,Horizon Systems,Budapest,Hungary
36,Indigo Innovations,Athens,Greece
37,Jade Technologies,Zurich,Switzerland
38,Kinetic Systems,Dublin,Ireland
39,Luminous Solutions,Stockholm,Sweden
40,Matrix Enterprises,Madrid,Spain
41,Neon Dynamics,Berlin,Germany
42,Ocean Blue Technologies,Seattle,USA
43,Pacific Solutions,Vancouver,Canada
44,Quantum Leap Innovations,Tel Aviv,Israel
45,Radiant Enterprises,London,UK
46,Sapphire Solutions,Toronto,Canada
47,Terra Nova Technologies,Sydney,Australia
48,Universal Systems,Paris,France
49,Vanguard Innovations,Mumbai,India
50,Wavecrest Technologies,San Francisco,USA
51,Xtreme Solutions,Berlin,Germany
52,Yonder Innovations,Tokyo,Japan
53,Zenith Global,New York,USA
54,Azure Technologies,Dublin,Ireland
55,Brilliant Minds,Stockholm,Sweden
56,Catalyst Enterprises,London,UK
57,Data Dynamics,Toronto,Canada
58,Ethereal Solutions,Sydney,Australia
59,Fractal Technologies,Paris,France
60,Global Network,Mumbai,India
61,Hyperlink Solutions,Berlin,Germany
62,Infinite Innovations,Tokyo,Japan
63,Jade Dynamics,New York,USA
64,Kinetic Global,London,UK
65,Luminous Systems,Sydney,Australia
66,Matrix Solutions,Toronto,Canada
67,Neon Technologies,Paris,France
68,Ocean Blue Innovations,Mumbai,India
69,Pacific Systems,Berlin,Germany
70,Quantum Leap Enterprises,London,UK
71,Radiant Global,Sydney,Australia
72,Sapphire Dynamics,New York,USA
73,Terra Nova Innovations,Tokyo,Japan
74,Universal Solutions,Berlin,Germany
75,Vanguard Technologies,London,UK
