recipe_id,heat_process,yield
PHMV,Unknown,92.79
VH45,Unknown,84.51
PKDS,50°C for 10 min,95.62
OINB,Unknown,90.83
N1O5,70°C for 10 min,97.21
0J9D,Steaming,98.15
ZVHO,Unknown,30.19
3NPN,70°C for 10 min,94.73
VI3B,Freezing for 20 min,91.19
MXBK,Unknown,98.21
65VW,Unknown,92.54
IS9W,70°C for 10 min,79.4
SEIB,Unknown,95.05
BCH4,Unknown,96.79
BE7E,Unknown,76.24
GTC9,50°C for 10 min,96.5
ZHZS,Unknown,95.77
Y9P1,Unknown,92.88
649E,Unknown,90.56
XGLR,Unknown,92.48
0CN1,Freezing for 20 min,96.71
8ZWK,Unknown,36.67
05XW,Freezing for 20 min,92.75
IT7V,Unknown,93.51
08EZ,Unknown,94.22
YBF8,Unknown,75.54
MY2R,Unknown,92.67
HHTR,Unknown,99.43
PSW2,Unknown,99.82
P02B,Freezing for 20 min,97.62
2Z4Q,Steaming,92.56
ARSK,Unknown,96.14
AHVX,Unknown,91.05
VNJA,70°C for 10 min,94.37
N7KV,Steaming,90.19
USDH,Freezing for 20 min,94.07
MTAW,Unknown,98.42
7B3P,20°C for 60 min,90.7
HHNR,Unknown,92.25
CFS8,Unknown,90.8
6F9W,Unknown,97.93
JULL,Unknown,99.03
GRIQ,70°C for 10 min,95.56
CZD3,Unknown,97.58
GISP,Steaming,98.45
8BD2,50°C for 10 min,93.33
NBF2,Unknown,94.51
WS3T,Unknown,94.29
Q941,20°C for 60 min,96.89
WGI5,Steaming,92.75
7OFM,Unknown,99.76
CU76,70°C for 10 min,90.17
5N7T,Unknown,99.81
81C2,Unknown,98.63
VJKY,Freezing for 20 min,95.31
FC7Y,Unknown,91.84
N94E,20°C for 60 min,97.94
O5BN,70°C for 10 min,94.0
GW00,Unknown,90.46
TDJI,Unknown,92.63
R4FJ,Steaming,97.71
8U1E,50°C for 10 min,66.13
ZEVY,Unknown,93.63
08T1,Unknown,22.58
MM3N,Unknown,99.19
L58O,20°C for 60 min,94.55
E8WX,Unknown,99.36
FHE0,Unknown,92.21
8Y3W,Unknown,95.22
1QV2,Unknown,93.25
1K2U,Unknown,98.94
X67O,Unknown,96.55
ERXX,Unknown,97.22
GT6Y,Unknown,95.0
CD58,Unknown,99.26
OZJX,70°C for 10 min,95.72
FPHP,Unknown,98.58
N478,20°C for 60 min,99.3
D746,Unknown,91.84
MFRC,Unknown,98.27
55VV,Unknown,98.26
OV2Q,Unknown,92.58
2026,Unknown,95.46
JJFZ,50°C for 10 min,90.05
02UP,Unknown,98.04
IA8K,Unknown,92.3
Y6HR,Steaming,93.19
2Y7V,Unknown,99.65
9LWD,70°C for 10 min,96.31
XPC9,20°C for 60 min,93.39
1R8V,50°C for 10 min,92.18
89Z9,20°C for 60 min,97.42
7H4K,Steaming,90.64
CKP1,Unknown,89.89
NRGF,Unknown,94.37
230B,50°C for 10 min,92.05
3FVX,Unknown,95.62
41C1,Unknown,94.89
GJZN,Unknown,94.24
OW2D,Unknown,92.67
LUY7,Unknown,97.64
EROX,Unknown,99.12
CBZX,70°C for 10 min,90.6
PUSG,Steaming,95.59
048L,Freezing for 20 min,90.59
K56Q,Unknown,93.45
Z9E0,Unknown,99.27
5JAN,70°C for 10 min,92.69
3WXQ,Steaming,92.15
P3JH,Unknown,90.93
ERAR,Unknown,65.75
D8M0,Unknown,94.69
XDDL,Unknown,93.98
KOHT,Unknown,68.38
3AMN,Unknown,93.92
BD1N,Unknown,64.76
CHE7,50°C for 10 min,92.05
DILU,Unknown,98.39
ND5T,Freezing for 20 min,91.05
IFS3,Unknown,96.95
9U2X,Unknown,95.86
WSV4,20°C for 60 min,99.62
BS28,Unknown,98.2
Q7OG,Unknown,70.64
PH0X,20°C for 60 min,91.45
IJET,Unknown,96.76
4GCS,Freezing for 20 min,96.46
UC0T,20°C for 60 min,98.9
FS2X,Unknown,91.89
L8KS,Unknown,96.98
FF8S,Unknown,98.26
KBHN,Unknown,94.59
V2AA,Steaming,92.0
DQNG,Freezing for 20 min,94.99
JV8C,Unknown,95.03
SBNH,20°C for 60 min,95.82
KS4Z,Unknown,91.77
WRNQ,Unknown,93.73
27FQ,Unknown,91.28
6IJF,Unknown,98.3
44KO,20°C for 60 min,98.15
N8A8,Steaming,97.41
MOA3,Unknown,99.21
AUMK,Unknown,81.44
XG5B,Unknown,97.18
JNWE,Unknown,27.71
8G4S,20°C for 60 min,98.23
4O3W,Unknown,95.4
WYNT,20°C for 60 min,75.69
KRR0,Unknown,99.75
W4ZT,20°C for 60 min,90.47
HY3I,Unknown,49.42
0ZHO,Unknown,98.44
7NCX,Unknown,91.03
Q340,Unknown,94.59
K1J2,Unknown,98.4
7JEU,Unknown,90.88
TTPF,Unknown,98.77
SJR9,Unknown,97.84
CP5M,50°C for 10 min,91.86
G3ID,Unknown,99.16
DWE1,Unknown,99.88
OM43,Unknown,96.6
6BJ0,70°C for 10 min,91.07
KD22,Unknown,97.91
4VBE,Unknown,97.2
HNFP,Freezing for 20 min,99.05
760W,Unknown,96.16
BZY1,Steaming,98.47
W4KG,Unknown,98.63
RAG5,Unknown,94.26
UKDX,Unknown,35.14
DSIE,Unknown,95.92
KV6Y,Unknown,93.8
TTHD,Unknown,66.57
T3XD,Unknown,93.87
169G,50°C for 10 min,94.47
J0SE,Unknown,96.59
RHPD,Unknown,47.47
77DS,Unknown,92.47
ZVTF,Steaming,97.18
LTOC,Unknown,98.63
4WI4,Unknown,94.99
N9XF,Unknown,42.49
Y2VS,Unknown,90.33
K32W,Unknown,97.88
LESM,Unknown,97.68
BTI6,Steaming,99.33
BCRB,70°C for 10 min,94.03
4KVT,70°C for 10 min,96.45
2JCP,Freezing for 20 min,96.67
IIW6,Steaming,30.75
LUHS,Unknown,99.81
MN22,Unknown,90.77
HCQ0,Unknown,99.46
HT3V,Unknown,94.5
Z192,Unknown,97.41
XB8U,Freezing for 20 min,96.08
HEL9,Unknown,98.28
YKYY,Freezing for 20 min,93.0
NUA5,Unknown,94.72
SHO1,70°C for 10 min,91.92
NQMJ,Unknown,90.65
U52H,Unknown,95.52
AAJE,Unknown,86.79
PO6D,Unknown,92.23
O9X9,Unknown,94.38
6ZB7,70°C for 10 min,99.93
JTHH,50°C for 10 min,93.6
TTAP,20°C for 60 min,98.63
7YK6,20°C for 60 min,55.23
E06K,Unknown,93.81
IZ5E,50°C for 10 min,95.89
K2FZ,Unknown,94.62
29SN,Unknown,93.98
ITIR,Unknown,47.92
R61V,Unknown,94.01
S0JF,Unknown,95.68
25FX,Unknown,90.19
JL5Z,Unknown,93.72
Q5W1,Freezing for 20 min,92.57
3LMQ,Unknown,97.06
60CW,Steaming,93.88
WR3W,Unknown,92.61
AH5X,Unknown,98.44
W6ZF,Unknown,66.88
RYAB,20°C for 60 min,95.97
D158,Unknown,97.87
EP0B,Unknown,95.42
JTWL,Unknown,96.84
34QC,Unknown,92.33
2DJ7,Unknown,90.13
JNXU,Freezing for 20 min,97.25
5MAB,Unknown,96.76
T7DR,Unknown,96.49
EIW2,70°C for 10 min,97.94
2Q7K,Unknown,90.8
CJ4S,50°C for 10 min,92.13
FXBD,Unknown,99.61
LJZ2,Unknown,98.14
9Z93,Unknown,95.75
7465,Unknown,93.97
XJ3P,70°C for 10 min,96.67
SWFO,Unknown,90.22
NF20,20°C for 60 min,90.9
Y2Y7,Steaming,95.65
KOT1,Unknown,93.45
L9J9,Unknown,93.35
92EH,Unknown,95.09
VSXB,Unknown,93.9
JL2Q,Steaming,97.41
4HVX,70°C for 10 min,98.26
H72U,Unknown,98.08
ZH00,Unknown,98.17
SG2I,Unknown,93.73
0961,Unknown,99.05
OVGM,70°C for 10 min,21.83
CQ25,20°C for 60 min,91.53
E5LO,Unknown,93.38
3FK1,Steaming,98.62
8PJQ,Unknown,96.62
UFRB,Unknown,48.01
KOOS,Unknown,98.64
QXDE,Unknown,39.61
XKDT,Unknown,90.91
UXCN,70°C for 10 min,96.13
7G1F,Unknown,92.07
0P6Q,Unknown,93.65
XXJ6,Unknown,95.51
4TGF,Unknown,98.3
JZ5G,Unknown,90.43
MG39,Unknown,97.32
BEJ2,Unknown,95.89
RTL7,Unknown,96.59
ZW4X,Unknown,35.66
9OV1,Unknown,97.74
DSTA,Unknown,92.14
UI0X,70°C for 10 min,40.6
Y44A,Freezing for 20 min,93.98
1DVM,Unknown,93.92
LQO2,Unknown,93.52
KZIF,Unknown,93.79
UFRL,Unknown,90.4
VTQW,Unknown,98.99
VN21,Unknown,90.47
WN6P,Unknown,90.5
NNMB,Unknown,93.23
MAA0,Unknown,95.45
QOL4,Unknown,94.65
S5YU,Unknown,92.61
ZOBR,Unknown,93.5
3DNS,Unknown,92.27
L3TD,20°C for 60 min,90.41
W7U7,Unknown,90.75
72HF,Unknown,91.94
KWU3,Unknown,90.68
H7J9,Unknown,92.33
B2EV,Unknown,99.68
42TD,Unknown,90.36
45SQ,Unknown,96.61
DVK5,Unknown,78.95
G9Y8,Unknown,97.78
XDMK,Steaming,90.36
QBVY,Unknown,39.3
GQY7,Unknown,92.61
B419,Unknown,99.19
YXQW,Steaming,96.59
3KSU,Unknown,32.12
TTLB,Unknown,95.4
FI4W,Unknown,92.21
V6IJ,70°C for 10 min,98.23
380N,Unknown,90.21
DJ8Q,Unknown,94.82
DA9C,50°C for 10 min,95.73
HPUC,Unknown,97.25
LHSX,Unknown,80.34
7SQM,20°C for 60 min,98.11
DV5I,Unknown,95.88
80AX,Unknown,97.31
XFRI,20°C for 60 min,94.82
VXDT,Unknown,96.66
QR1O,Unknown,96.95
77XQ,Unknown,48.96
ZF2T,50°C for 10 min,95.46
FQLY,Freezing for 20 min,98.49
WPTN,Freezing for 20 min,98.54
C8PU,Unknown,31.73
OEEM,50°C for 10 min,98.72
CURY,20°C for 60 min,99.34
WNEC,Unknown,96.64
0PXA,Unknown,96.78
FK3U,Unknown,92.48
WEF1,Unknown,97.54
C94U,Unknown,91.87
M7B0,Unknown,95.1
4OT6,Unknown,95.15
IGUM,50°C for 10 min,96.48
V1RN,Unknown,74.89
0I26,50°C for 10 min,56.18
EISS,Unknown,90.65
SMBU,Unknown,92.33
MGHH,Unknown,95.7
TTGO,Unknown,98.9
J1V4,Unknown,92.41
JZB5,20°C for 60 min,90.05
ZTZ4,Unknown,98.58
G5VA,Unknown,92.17
EKY4,20°C for 60 min,80.98
RP9D,Unknown,95.48
YEL2,Unknown,91.96
BG3G,Unknown,97.0
ATOI,50°C for 10 min,92.99
3OHU,50°C for 10 min,93.44
E4EM,Unknown,97.49
1TLW,Unknown,94.65
6D5V,20°C for 60 min,93.05
RZJB,Unknown,25.11
9O6G,Unknown,90.51
HM5T,Freezing for 20 min,97.2
H85L,20°C for 60 min,92.0
20FJ,Unknown,93.28
D455,Freezing for 20 min,97.13
MCCQ,Steaming,97.52
2EPP,Steaming,90.62
C9ZL,Unknown,91.55
012C,Unknown,31.62
2ZNW,Unknown,99.87
9II0,Unknown,94.09
WZRG,Unknown,94.37
K1VS,50°C for 10 min,97.19
6IHS,Unknown,92.93
SDY8,Unknown,90.21
316X,Unknown,99.69
HBNI,Unknown,94.98
RUZG,Unknown,95.0
EW0K,Unknown,69.79
FCYO,Unknown,98.98
O4UH,Unknown,96.7
9JQC,Unknown,21.96
4MBX,Unknown,92.22
ZRI9,Unknown,99.13
NBRF,70°C for 10 min,97.52
38GR,50°C for 10 min,98.28
D2W1,70°C for 10 min,93.94
56TW,70°C for 10 min,90.12
5GW8,20°C for 60 min,41.92
ME1P,Steaming,93.72
SY4L,Unknown,99.18
POFC,Unknown,92.51
G9NM,Unknown,92.03
SOQ7,Unknown,90.55
X1M0,Freezing for 20 min,46.21
2R6O,50°C for 10 min,92.77
K3FZ,Unknown,96.91
KE1I,Unknown,90.18
U16N,Unknown,90.52
738N,Unknown,90.7
50FH,Unknown,98.16
XCJX,Unknown,97.06
QSEV,Unknown,97.66
8D9Y,Unknown,97.3
F8MH,Unknown,90.61
SLTJ,Unknown,93.56
K4MK,Unknown,97.12
XML9,70°C for 10 min,92.27
XHH5,Unknown,92.8
N6DD,Freezing for 20 min,93.88
07KE,Unknown,97.13
CX5G,Unknown,94.47
KO47,Unknown,99.66
L9FF,Unknown,90.88
Y4XM,Unknown,99.88
7YP3,Freezing for 20 min,98.09
J64R,Unknown,92.15
LX5G,Freezing for 20 min,90.86
6G0Z,Unknown,98.1
T1JR,Unknown,93.09
YJBN,Steaming,95.95
5HTH,Unknown,96.67
HGYU,Unknown,98.09
W5YH,Steaming,91.5
NKIO,Unknown,94.6
6O5W,Unknown,97.17
LEA0,Unknown,97.31
D7Y5,Unknown,93.23
B2VX,Unknown,96.79
ZSHO,70°C for 10 min,96.5
UV0C,Unknown,92.98
9OJ4,Unknown,95.85
0TQT,Unknown,94.21
5W72,Freezing for 20 min,94.49
Y9B4,Unknown,95.53
WZNY,Unknown,94.45
KKLR,20°C for 60 min,99.71
NING,Unknown,91.76
7MRW,Unknown,91.08
JEYS,Unknown,97.39
9YNY,Unknown,92.06
2XZJ,Unknown,80.27
4RGN,Unknown,90.39
7B7F,70°C for 10 min,42.27
LFI1,Unknown,98.47
7WK1,Unknown,90.07
LCBH,50°C for 10 min,86.69
C1M4,Unknown,91.72
V53R,Unknown,92.65
3RZL,Unknown,94.0
LQER,Unknown,91.53
6FMQ,Freezing for 20 min,90.85
ET17,Steaming,96.12
48XH,Unknown,92.21
GEXF,Unknown,90.1
XOLR,Unknown,92.98
185J,Unknown,93.14
F7M5,Unknown,45.37
RHRG,Unknown,76.44
NHIY,Unknown,98.65
55NS,Unknown,90.43
3CC9,Freezing for 20 min,93.88
B66H,70°C for 10 min,95.47
RMYG,Unknown,94.42
3MFA,Unknown,97.52
JAZO,Unknown,92.1
P3LV,Steaming,58.06
A0NV,Unknown,37.82
ZI78,Steaming,40.67
EVW7,Unknown,96.9
A7BQ,Unknown,95.58
K02S,20°C for 60 min,94.44
WPSO,Unknown,96.41
ZW4H,Unknown,98.03
HC22,Unknown,92.68
CQAL,Freezing for 20 min,77.33
2WL6,20°C for 60 min,97.5
8TZN,50°C for 10 min,99.58
JCCC,Unknown,93.07
KABP,Unknown,98.4
W417,Unknown,91.34
2CN4,Unknown,95.18
2JBV,20°C for 60 min,92.72
WB6F,50°C for 10 min,94.94
T5L9,Unknown,91.66
CY1N,Freezing for 20 min,93.24
0ECE,50°C for 10 min,90.8
RKI7,Unknown,94.48
IDHD,Unknown,98.47
KQ44,Unknown,99.92
EOQF,Unknown,92.08
97AV,Unknown,98.23
4JTZ,Unknown,97.11
F6PR,50°C for 10 min,95.77
LBF7,Freezing for 20 min,97.31
Y4H7,Unknown,89.26
VCFZ,50°C for 10 min,94.99
QQ94,Unknown,91.5
2ZX8,Unknown,94.96
J2FV,20°C for 60 min,93.19
FUEL,Unknown,93.99
Q0HZ,Freezing for 20 min,96.56
KL6R,50°C for 10 min,97.08
NSN0,Unknown,95.22
PB5D,Unknown,93.35
EKYS,Unknown,99.46
WBJA,20°C for 60 min,98.28
WGNT,50°C for 10 min,97.35
YLKL,Unknown,91.45
M9Q3,Unknown,91.37
ETEQ,Freezing for 20 min,97.73
4J4D,Unknown,96.86
YQW3,Unknown,94.93
BT28,Steaming,97.06
ONZJ,Unknown,98.91
TW3O,50°C for 10 min,95.83
KST5,Unknown,96.07
76SR,Unknown,98.24
ICB8,Unknown,90.04
F14O,Unknown,91.58
2DTP,Unknown,97.08
ZRZK,Unknown,27.95
MKIR,Unknown,91.85
1IMQ,20°C for 60 min,96.85
N1Z2,Unknown,99.31
G6EU,Unknown,91.59
FGA7,Unknown,94.59
DQ3X,Unknown,97.87
SXQG,20°C for 60 min,97.69
7VN4,Unknown,90.78
KDDJ,Unknown,95.57
XEKB,Unknown,34.05
0QGW,50°C for 10 min,94.84
KXXD,50°C for 10 min,97.53
936K,Unknown,99.91
ZTWH,Unknown,92.11
PELD,70°C for 10 min,97.95
V6ZW,Unknown,94.69
1S0R,Unknown,93.62
XZ0X,Freezing for 20 min,94.94
UDKK,Unknown,97.0
LEMH,Unknown,95.76
XA8O,Unknown,96.12
C0KZ,Unknown,95.86
KS32,Unknown,92.19
YDSH,Unknown,90.96
8M88,Unknown,95.73
NYD2,Unknown,91.58
K8B8,Unknown,93.58
N5EA,Unknown,34.14
2ELX,50°C for 10 min,93.44
D094,Unknown,97.31
8EAF,Unknown,55.8
UNSX,Freezing for 20 min,99.9
UE71,Unknown,96.98
9Y25,Unknown,99.21
